username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Chinmayi;2015-12-04 11:23;52;160;"Finally going to sleep with electricity after 3 days :) cant wait to get back to work tomorrow";None;;;"672858857568268289";https://twitter.com/Chinmayi/status/672858857568268289
Chinmayi;2015-12-04 09:19;181;235;"Response under pressure is the best judge of character they say. The people of Chennai truly amazing.";None;;;"672827550058475520";https://twitter.com/Chinmayi/status/672827550058475520
Chinmayi;2015-12-04 09:00;127;141;"Chennai Beach station was covered by us twice today. They have received food and water";None;;;"672822896578793472";https://twitter.com/Chinmayi/status/672822896578793472
Chinmayi;2015-12-04 07:29;150;58;"Unbelievable. Flight tickets for domestic routes in Jet Airways over 100,000/-pic.twitter.com/XI9wiSypPz";None;;;"672799801998573568";https://twitter.com/Chinmayi/status/672799801998573568
Chinmayi;2015-12-04 07:05;92;52;"Heavy rains in Nungambakkam, Alwarpet again.";None;;;"672793875874910209";https://twitter.com/Chinmayi/status/672793875874910209
Chinmayi;2015-12-04 07:02;42;38;"In touch with @ vaishrathi for donations to ChennaiMicro @ RJ_Balaji";None;@ @;;"672793122049384448";https://twitter.com/Chinmayi/status/672793122049384448
Chinmayi;2015-12-04 06:31;115;72;"The biggest issue we faced - lack of cash on hand and merchants unable to accept credit card payments because of connectivity loss";None;;;"672785328793452545";https://twitter.com/Chinmayi/status/672785328793452545
Chinmayi;2015-12-04 06:06;1;0;"@ Mismail_Offl number pls";None;@;;"672778897079951360";https://twitter.com/Chinmayi/status/672778897079951360
Chinmayi;2015-12-04 05:40;72;36;"Power restored in some areas of S. Kolathur.";None;;;"672772590646071296";https://twitter.com/Chinmayi/status/672772590646071296
Chinmayi;2015-12-04 05:24;49;29;"Viduthalai Nagar South Kolathur water has drained. No power.";None;;;"672768556208001024";https://twitter.com/Chinmayi/status/672768556208001024
Chinmayi;2015-12-04 05:21;77;43;"Update: roads from Pallavaram upto Kamakoti memorial hospital. People near Pallikkaranai have received food stocked till tomorrow";None;;;"672767794912428032";https://twitter.com/Chinmayi/status/672767794912428032
Chinmayi;2015-12-04 05:08;93;44;"Update: Pallavaram upto Vels University roads clear and motorable";None;;;"672764321009504257";https://twitter.com/Chinmayi/status/672764321009504257
Chinmayi;2015-12-04 02:31;50;32;"Getting a little worried about running out of diesel in our car. No petrol pumps nearby have stock";None;;;"672724808426098688";https://twitter.com/Chinmayi/status/672724808426098688
Chinmayi;2015-12-04 01:59;121;55;"Repost - those who have gotten in touch with relatives delete your tweets. Please.";None;;;"672716775813865472";https://twitter.com/Chinmayi/status/672716775813865472
Chinmayi;2015-12-04 01:41;139;121;"Volunteers - watch your step, prevent injury, eat on time and have safe drinking water. Unless you are healthy you cant help.";None;;;"672712375531732992";https://twitter.com/Chinmayi/status/672712375531732992
Chinmayi;2015-12-04 01:34;48;48;"Pouring in Chennaj again.";None;;;"672710522689613824";https://twitter.com/Chinmayi/status/672710522689613824
Chinmayi;2015-12-03 23:29;56;26;"Triplicane food update - they are almost out of their cooked food. Groceries are coming in now.";None;;;"672679064973402113";https://twitter.com/Chinmayi/status/672679064973402113
Chinmayi;2015-12-03 23:09;77;53;"Girls at the hostel in Canal Bank Road CIT Nagar have evacuated rhe building. Said to be safe. Personally verified.";None;;;"672674063337132032";https://twitter.com/Chinmayi/status/672674063337132032
Chinmayi;2015-12-03 22:47;236;88;"50 children cancer patients located near DON Bosco need Blood.A+ve,B+ve and B-ve. Please help. contact - mr.santhosh - +91 99523 85218";None;;;"672668600101015552";https://twitter.com/Chinmayi/status/672668600101015552
Chinmayi;2015-12-03 22:44;129;43;"We still need a lot of water, blankets, mats, topical mosquito repellents or mosquito coils. Pls bring it to Big FM,Dominos Building Nugmbkm";None;;;"672667680680230912";https://twitter.com/Chinmayi/status/672667680680230912
Chinmayi;2015-12-03 22:35;118;45;"Also please help aid reach Cuddalore. In worse shape than Chennai.";None;;;"672665577614274560";https://twitter.com/Chinmayi/status/672665577614274560
Chinmayi;2015-12-03 22:33;46;19;"If anyone is in KK Nagar and has connectivity, kindly update on a Mr Rangarajan West Vanniyar Street pls.";None;;;"672664994056507393";https://twitter.com/Chinmayi/status/672664994056507393
Chinmayi;2015-12-03 22:32;48;36;"Lots of roads in city back to semblance of normalcy. Power returning in some places after almost 72 hours";None;;;"672664790796406784";https://twitter.com/Chinmayi/status/672664790796406784
Chinmayi;2015-12-03 22:30;66;46;"Those who intimate for aid/food, please please verify. I drove to 3 places which hadnt asked for help at all and were safe/self sufficient";None;;;"672664290164211712";https://twitter.com/Chinmayi/status/672664290164211712
Chinmayi;2015-12-03 22:29;57;30;"Alwarpet has had no phone service since last night and hence lost touch. Volunteers are working full swing since this morning";None;;;"672664107275841536";https://twitter.com/Chinmayi/status/672664107275841536
Chinmayi;2015-12-03 10:48;55;24;"The news that women in Periyar Thidal need aid is fake. Just verified.";None;;;"672487608744718336";https://twitter.com/Chinmayi/status/672487608744718336
Chinmayi;2015-12-03 10:43;56;42;"Personally verified - Women in Periyar Thidal dont need aid. They are self sufficient.";None;;;"672486293880762368";https://twitter.com/Chinmayi/status/672486293880762368
