username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RJ_Balaji;2015-12-04 10:39;870;568;"Imp. Guys we've managed to get one oxygen cylinder in big fm office today.In case of any emergency need,anybody can take tat from thre 24/7.";Mylapore Tiruvallike- India;;;"672847792709111808";https://twitter.com/RJ_Balaji/status/672847792709111808
RJ_Balaji;2015-12-04 09:49;1741;2134;"The news tat I gave one crore for releif fund is not true.Am not tat rich bt am rich enough to have all of u.All I have to give is myself.";Mylapore Tiruvallike- India;;;"672835119170760704";https://twitter.com/RJ_Balaji/status/672835119170760704
RJ_Balaji;2015-12-04 08:30;196;209;"@ dhanushkraja beleive d team has collected today. Need is more. If u av more tomorrow , we will come n collect it again.";Mylapore Tiruvallike- India;@;;"672815177029447680";https://twitter.com/RJ_Balaji/status/672815177029447680
RJ_Balaji;2015-12-04 08:00;574;392;"And finally,Whoever wants to take relief material n distribute to any of ur areas, plz come wit a vehicle to Big FM anytime. lets do this.";Mylapore Tiruvallike- India;;;"672807580142460930";https://twitter.com/RJ_Balaji/status/672807580142460930
RJ_Balaji;2015-12-04 07:56;439;384;"Guys. Mostly no network for me or @ Actor_Siddharth. To reach us, plz tweet here. It will reach us. Now back to work. Stay safe.";Mylapore Tiruvallike- India;@;;"672806791625900032";https://twitter.com/RJ_Balaji/status/672806791625900032
RJ_Balaji;2015-12-04 07:54;568;548;"To all the traffic police who helped us to load and unload in hundreds of vehicles in d busiest road without causin a havoc. Salute.";Mylapore Tiruvallike- India;;;"672806070369128448";https://twitter.com/RJ_Balaji/status/672806070369128448
RJ_Balaji;2015-12-04 07:51;437;464;"We were able to help out almost twice d number of ppl tat we reached yesterday only cos of all u unknown heroes.Thank you. @ Actor_Siddharth";Mylapore Tiruvallike- India;@;;"672805519447339008";https://twitter.com/RJ_Balaji/status/672805519447339008
RJ_Balaji;2015-12-04 07:42;925;391;"Need of d hour is blankets, mat, mosquito coil, Candle Sanitary napkins Saibol cream Food items Water bottles Plz dont bring old clothes.";Mylapore Tiruvallike- India;;;"672803119361732608";https://twitter.com/RJ_Balaji/status/672803119361732608
RJ_Balaji;2015-12-04 07:38;549;362;"Important: Those who want to volunteer for tomorrow, We av enough.plz do ur best in ur near by locality or reach velachery fr relief work.";Mylapore Tiruvallike- India;;;"672802192437325825";https://twitter.com/RJ_Balaji/status/672802192437325825
RJ_Balaji;2015-12-04 06:55;767;866;"Never expected this kind of support and trust across the globe.Truely humbled and inspired.Thank you everyone. Lets do this again tomorrow.";Chennai- India;;;"672791445728718848";https://twitter.com/RJ_Balaji/status/672791445728718848
RJ_Balaji;2015-12-04 06:53;189;148;"Everyone Plz go back. Bedsheets will b wasted in rain. Give it tomorrow.https://twitter.com/imrameezraja/status/672789271686873088 …";None;;;"672790758450028544";https://twitter.com/RJ_Balaji/status/672790758450028544
RJ_Balaji;2015-12-04 06:36;783;909;"No words to describe the dedication of hundreds of volunteers who did d job today inspite of heavy rains. Thank you. U inspire us.";Chennai- India;;;"672786500090593282";https://twitter.com/RJ_Balaji/status/672786500090593282
RJ_Balaji;2015-12-04 05:58;505;221;"IMP- People bringing stock to BIG FM it is full as of now. Pass on all the materials to the camp at Guru Nanak college. Our team is there";Chennai- India;;;"672776879275835392";https://twitter.com/RJ_Balaji/status/672776879275835392
RJ_Balaji;2015-12-04 05:54;167;77;"Someone help.https://twitter.com/yaathu0424/status/672640697909006336 …";None;;;"672775910500646912";https://twitter.com/RJ_Balaji/status/672775910500646912
RJ_Balaji;2015-12-03 23:55;391;200;"Any one at jaffarkanpet with a working phone and can check on ppl? Please pass your number to @ madhiceg";None;@;;"672685696805568512";https://twitter.com/RJ_Balaji/status/672685696805568512
RJ_Balaji;2015-12-03 21:36;573;273;"Volunteers req to delvr ID batter in W Mmblm & Ashk ngr. Sign up Tweet name ph#& loc to @ madhiceg @VivekBharati_VBpic.twitter.com/7zbbnBBuKl";None;@ @VivekBharati_VBpic;;"672650733141946368";https://twitter.com/RJ_Balaji/status/672650733141946368
RJ_Balaji;2015-12-03 20:56;522;460;"We r getting 5 tractors today to rescue ppl from flooded places. Dont how many we can reach, hoping to save more.";Mylapore Tiruvallike- India;;;"672640709116239872";https://twitter.com/RJ_Balaji/status/672640709116239872
RJ_Balaji;2015-12-03 20:46;482;224;"Mats, blankets and water are d one in big need. Bring t to Big FM, 152/153,azam arcade, dominos building, kodambakkam high rd, nungambakkam.";Mylapore Tiruvallike- India;;;"672638169154736128";https://twitter.com/RJ_Balaji/status/672638169154736128
RJ_Balaji;2015-12-03 20:42;472;252;"Anyone wants to contribute or take things for distribution to needy.. We r here in Big FM. Plz come. Ppl with big vehicles come fwd.";Mylapore Tiruvallike- India;;;"672637169807327232";https://twitter.com/RJ_Balaji/status/672637169807327232
RJ_Balaji;2015-12-03 12:38;372;186;"PPl in USA plz note.https://twitter.com/princeofayodhya/status/672511595193368576 …";Mylapore Tiruvallike- India;;;"672515312198225920";https://twitter.com/RJ_Balaji/status/672515312198225920
RJ_Balaji;2015-12-03 12:35;23;69;"@ Udhaystalin thank u somuch.!";Mylapore Tiruvallike- India;@;;"672514577574330368";https://twitter.com/RJ_Balaji/status/672514577574330368
RJ_Balaji;2015-12-03 12:33;25;48;"@ Udhaystalin ur no. Not reachable uday. We need d same tomorrow too. Befre 11am if possible plz.";None;@;;"672513925569728512";https://twitter.com/RJ_Balaji/status/672513925569728512
RJ_Balaji;2015-12-03 12:18;252;207;"Ppl can not only give ur contributions in Big fm office, but also collect whatever u need to distribute by urself. 24/7.";Mylapore Tiruvallike- India;;;"672510180043698176";https://twitter.com/RJ_Balaji/status/672510180043698176
RJ_Balaji;2015-12-03 12:12;357;421;"Hats off to hundreds of volunteers who came today to big fm.The work that u ppl did is amazing. Lets do this again tomorrow.";Mylapore Tiruvallike- India;;;"672508829179973633";https://twitter.com/RJ_Balaji/status/672508829179973633
RJ_Balaji;2015-12-03 11:51;267;340;"Ive left big fm, you can hand over all your contributions 24/7 there. We av ppl thre. Family is safe. We r relocating. Thank u.";Mylapore Tiruvallike- India;;;"672503433707053056";https://twitter.com/RJ_Balaji/status/672503433707053056
RJ_Balaji;2015-12-03 11:07;979;399;"My family is stranded in kottur. Wit no phone, current and water. Someone plz let me know d status of perumal koil street.";Mylapore Tiruvallike- India;;;"672492354906030081";https://twitter.com/RJ_Balaji/status/672492354906030081
RJ_Balaji;2015-12-03 11:04;231;116;"I still av stocks to collect n store. Cant go now. Someone plz help me in finding bout kotturpuram situation.";None;;;"672491628595122177";https://twitter.com/RJ_Balaji/status/672491628595122177
RJ_Balaji;2015-12-03 09:37;357;252;"Guys in foreign, someone plz confirm if the transfer to # ChennaiMicroFund trust is successful ? Are u facing any issues. Plz let us know.";Egmore Nungambakkam- India;;;"672469837520728064";https://twitter.com/RJ_Balaji/status/672469837520728064
RJ_Balaji;2015-12-03 09:21;529;164;"# ChennaiRescue anyone from TCS siruseri? Pls tweet back. A girl there...appa passed away in Hyde. Trying to reach her. @ subhajrao";Egmore Nungambakkam- India;@;;"672465651311779840";https://twitter.com/RJ_Balaji/status/672465651311779840
RJ_Balaji;2015-12-03 08:21;1477;792;"And to those who wants to contribute as money, this is d offical trust account. # ChennaiMicroFundpic.twitter.com/jrAChyccu4";Egmore Nungambakkam- India;;;"672450520414597120";https://twitter.com/RJ_Balaji/status/672450520414597120
