username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Udhaystalin;2015-12-04 06:40;14;23;"@nireekshanaravi +91 94-43-736669 +91 99-94-736669 +91 8144-001005";None;@nireekshanaravi;;"672787656867098624";https://twitter.com/Udhaystalin/status/672787656867098624
Udhaystalin;2015-12-04 06:27;9;19;"@nireekshanaravi the number is switched off.. Pls call 044 43081656";None;@nireekshanaravi;;"672784230720520192";https://twitter.com/Udhaystalin/status/672784230720520192
Udhaystalin;2015-12-04 06:24;7;17;"@nireekshanaravi will arrange";None;@nireekshanaravi;;"672783481089359872";https://twitter.com/Udhaystalin/status/672783481089359872
Udhaystalin;2015-12-04 05:11;283;207;"Call 044-43091656 /+91 94-43-736669 raja for food and water..the team wil try to arrange.. Need more volunteers to rescue ppl!";None;;;"672765058967928832";https://twitter.com/Udhaystalin/status/672765058967928832
Udhaystalin;2015-12-03 12:37;20;56;"@ RJ_Balaji try whatsapp call";None;@;;"672515022824693761";https://twitter.com/Udhaystalin/status/672515022824693761
Udhaystalin;2015-12-03 12:34;18;42;"@ RJ_Balaji will reach u! Wil try for more manpower !";None;@;;"672514348028321792";https://twitter.com/Udhaystalin/status/672514348028321792
Udhaystalin;2015-12-03 12:28;4;14;"@ Prabhak22363968 ok bro.. Our team will call u tmrw";None;@;;"672512694105194499";https://twitter.com/Udhaystalin/status/672512694105194499
Udhaystalin;2015-12-03 12:25;5;16;"@ Prabhak22363968 try to get water bottles, milk , clothes nd food as much as possible";None;@;;"672512086816100352";https://twitter.com/Udhaystalin/status/672512086816100352
Udhaystalin;2015-12-03 12:20;16;44;"@ RJ_Balaji bro call me";None;@;;"672510865808035841";https://twitter.com/Udhaystalin/status/672510865808035841
Udhaystalin;2015-12-03 12:19;103;112;"Pls contact +91 99-94-736669 raja +91 98-41-977777 Karthik ! Appreciate it bro https://twitter.com/prabhak22363968/status/672509613959348224 …";None;;;"672510587448913920";https://twitter.com/Udhaystalin/status/672510587448913920
Udhaystalin;2015-12-03 08:40;436;270;"V r collecting food/water..If ny1 can help pls post it..will collect nd distribute the needy..Raja+91 99-94-736669 Karthik +91 98-41-977777";None;;;"672455457710018560";https://twitter.com/Udhaystalin/status/672455457710018560
Udhaystalin;2015-12-03 06:47;228;146;"Need more volunteers, food and water.. Pls call RAJA +91 99-94-736669 to coordinate!";None;;;"672426919317532672";https://twitter.com/Udhaystalin/status/672426919317532672
Udhaystalin;2015-12-03 06:14;543;388;"+91 99-94-736669 raja.. Call or msg him.. He has a team.. Can arrange food nd water";None;;;"672418598153936896";https://twitter.com/Udhaystalin/status/672418598153936896
Udhaystalin;2015-12-02 05:13;25;57;"https://twitter.com/elango_2015/status/672039196521992193 …";None;;;"672041019785940993";https://twitter.com/Udhaystalin/status/672041019785940993
Udhaystalin;2015-12-02 04:56;754;501;"any help required in and around Anna nagar... Have a team assembled here..food for about 2000 people is available contact KARTHIK9841977777";None;;;"672036609508794368";https://twitter.com/Udhaystalin/status/672036609508794368
Udhaystalin;2015-12-02 04:53;23;54;"https://twitter.com/thamizh_rocking/status/672030962021064704 …";None;;;"672035818731507716";https://twitter.com/Udhaystalin/status/672035818731507716
Udhaystalin;2015-12-01 10:15;34;40;"@ gopalbalaji @ kalaignar89 @ mkstalin I accept sir.. Wil try my best to do the needful";None;@ @ @;;"671754595102679040";https://twitter.com/Udhaystalin/status/671754595102679040
Udhaystalin;2015-12-01 09:13;177;149;"# ChennaiRainsHelppic.twitter.com/wbLHloPMxR";None;;;"671739002777567232";https://twitter.com/Udhaystalin/status/671739002777567232
