username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
VishalKOfficial;2015-12-04 12:27;2;14;"@ imprasath. Send me yr no.";None;@;;"672874797039091712";https://twitter.com/VishalKOfficial/status/672874797039091712
VishalKOfficial;2015-12-04 12:25;19;31;"@ chandrasekar_i @ actor_viishnu. Am taking care of all these areas personally. It will take a week for them to settle down";None;@ @;;"672874366862929920";https://twitter.com/VishalKOfficial/status/672874366862929920
VishalKOfficial;2015-12-04 12:23;1;14;"@ dilluu1 send me ur no. Pls drop off at Harrington road lady Andal school. Will b set";None;@;;"672873758961504256";https://twitter.com/VishalKOfficial/status/672873758961504256
VishalKOfficial;2015-12-04 12:21;1;11;"@ prasanna_93 @ actormohanraman @ ash_r_dhanush @ dhanushkraja @ actor_viishnu. Will follow up";None;@ @ @ @ @;;"672873388977684480";https://twitter.com/VishalKOfficial/status/672873388977684480
VishalKOfficial;2015-12-04 09:59;7;24;"@ My_Dhanush @ dhanushkraja. 10am";None;@ @;;"672837649724407808";https://twitter.com/VishalKOfficial/status/672837649724407808
VishalKOfficial;2015-12-04 09:59;1;11;"@SusanDodream @ actor_viishnu @ RJ_Balaji by 10am";None;@SusanDodream @ @;;"672837564903002113";https://twitter.com/VishalKOfficial/status/672837564903002113
VishalKOfficial;2015-12-04 09:57;2;13;"@ UdayaAmmu. Which area";None;@;;"672837199532920832";https://twitter.com/VishalKOfficial/status/672837199532920832
VishalKOfficial;2015-12-04 09:54;8;15;"@ balaji_mavrick @ itisprashanth. Being taken care of personally";None;@ @;;"672836400799023105";https://twitter.com/VishalKOfficial/status/672836400799023105
VishalKOfficial;2015-12-04 09:53;2;9;"@ Praniesh. Pls send it to cuddalore";None;@;;"672836105092227072";https://twitter.com/VishalKOfficial/status/672836105092227072
VishalKOfficial;2015-12-04 09:49;2;10;"@ itisSarwan great. Pls gimme yr contact no";None;@;;"672835050061168640";https://twitter.com/VishalKOfficial/status/672835050061168640
VishalKOfficial;2015-12-04 09:48;9;20;"@ My_Dhanush @ dhanushkraja.ok come to lady Andal school Harrington road and join us in relief efforts";None;@ @;;"672834898202255360";https://twitter.com/VishalKOfficial/status/672834898202255360
VishalKOfficial;2015-12-04 09:44;4;12;"@SusanDodream @ actor_viishnu @ RJ_Balaji. Wil send it Tom morning. Thank u god bless";None;@SusanDodream @ @;;"672833900532514817";https://twitter.com/VishalKOfficial/status/672833900532514817
VishalKOfficial;2015-12-04 09:42;4;9;"@ _venkatesan call prof Balamurugan 9443176545";None;@;;"672833430946578432";https://twitter.com/VishalKOfficial/status/672833430946578432
VishalKOfficial;2015-12-04 09:35;3;10;"@ Manoharan_1992 coming tom";None;@;;"672831725622321152";https://twitter.com/VishalKOfficial/status/672831725622321152
VishalKOfficial;2015-12-04 09:35;4;12;"@ My_Dhanush sorry had to goto North madras. God bless u. Hats off to u";None;@;;"672831509695299586";https://twitter.com/VishalKOfficial/status/672831509695299586
VishalKOfficial;2015-12-04 09:26;3;9;"@ spnav tom morning for sure";None;@;;"672829461927096320";https://twitter.com/VishalKOfficial/status/672829461927096320
VishalKOfficial;2015-12-04 09:26;188;172;"Jus rchd Saidapet.things wil b given to them Tom.if any contributions pls step fwd. off to Cuddalore Tom. send in contributions 2 cuddalore";Egmore Nungambakkam- India;;;"672829360286523392";https://twitter.com/VishalKOfficial/status/672829360286523392
VishalKOfficial;2015-12-04 06:38;2;7;"@ mohamed_hathim address please";None;@;;"672787039272632320";https://twitter.com/VishalKOfficial/status/672787039272632320
VishalKOfficial;2015-12-04 06:36;6;12;"@ WorldYuvan @ Ragunanthen @ Actor_Siddharth @ bhavatharini @ vp_offl jus spoke. They have enough supplies for Tom also";None;@ @ @ @ @;;"672786657393831936";https://twitter.com/VishalKOfficial/status/672786657393831936
VishalKOfficial;2015-12-04 06:35;2;7;"@ WorldYuvan @ Ragunanthen @ Actor_Siddharth @ bhavatharini @ vp_offl. Will check and if stil waiting Wil deliver myself";None;@ @ @ @ @;;"672786398491992069";https://twitter.com/VishalKOfficial/status/672786398491992069
