username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
news7tamil;2015-12-04 08:15;22;15;"சென்னை மாநகர பேருந்துகளில் பயணிக்க கட்டணம் இல்லை : முதல்வர் ஜெயலலிதா அறிவிப்பு http://goo.gl/qn7AW2";None;;;"672811515825684480";https://twitter.com/news7tamil/status/672811515825684480
news7tamil;2015-12-04 07:36;42;22;"சென்னை மாநகர பேருந்துகளில் பயணிப்போருக்கு நாளை முதல் வரும் 8ம் தேதி வரை கட்டணம் வசூலிக்கப்படாது.......pic.twitter.com/3oBrKaXcZL";None;;;"672801681424289792";https://twitter.com/news7tamil/status/672801681424289792
news7tamil;2015-12-04 07:36;73;31;"சென்னை மாநகர பேருந்துகளில் பயணிப்போருக்கு நாளை முதல் வரும் 8ம் தேதி வரை கட்டணம் வசூலிக்கப்படாது... தமிழக முதலமைச்சர் ஜெயலலிதா அறிவிப்பு";None;;;"672801600969183233";https://twitter.com/news7tamil/status/672801600969183233
news7tamil;2015-12-04 06:27;39;13;"வெள்ளம் பாதித்த பகுதிகளில் நடமாடும் ஏ.டி.எம் சேவை வழங்க மத்திய அரசு உத்தரவு http://goo.gl/EsCreI pic.twitter.com/CEvO6zzyIN";None;;;"672784345271152640";https://twitter.com/news7tamil/status/672784345271152640
news7tamil;2015-12-04 06:13;20;7;"# BreakingNews பழுதடைந்த ஏ.டி.எம்களை சரி செய்யவும் வங்கிகளுக்கு மத்திய அரசு அறிவுறுத்தல்... http://www.ns7.tv pic.twitter.com/21Xb9NwBm5";None;;;"672780701612158976";https://twitter.com/news7tamil/status/672780701612158976
news7tamil;2015-12-04 04:54;60;14;"தூத்துக்குடிக்கு இரவு 8 மணிக்கு மதுரைக்கு இரவு 9 மணிக்கு கன்னியாகுமரிக்கு இரவு 9.30 மணிக்கு செங்கோட்டை இரவு 11 மணிpic.twitter.com/mg38clRdSf";None;;;"672760913431150592";https://twitter.com/news7tamil/status/672760913431150592
news7tamil;2015-12-04 04:03;16;8;"# BREAKING | # TrainServicepic.twitter.com/LPP9KmihRw";India;;;"672748042869604356";https://twitter.com/news7tamil/status/672748042869604356
news7tamil;2015-12-04 04:02;47;19;"# BREAKING | சென்னையில் மீண்டும் கனமழை.. | http://www.ns7.tv pic.twitter.com/SSuVe3vXYU";India;;;"672747809121001472";https://twitter.com/news7tamil/status/672747809121001472
news7tamil;2015-12-04 03:49;21;11;"# BREAKING | # TrainServicepic.twitter.com/Azmro56zkQ";India;;;"672744410988175362";https://twitter.com/news7tamil/status/672744410988175362
news7tamil;2015-12-04 02:56;23;6;"# BREAKING | சென்னையில் பெட்ரோல், டீசல் தட்டுபாடு இன்று இரவுக்குள் சீரடையும்.pic.twitter.com/iGgNha7f4J";India;;;"672731081011957760";https://twitter.com/news7tamil/status/672731081011957760
news7tamil;2015-12-04 02:29;16;9;"# BREAKING | புதுச்சேரி மற்றும் காரைக்காலில் முதல்வர் ரங்கசாமி ரூ. 4000 நிவாரண தொகை அறிவிப்பு.pic.twitter.com/40MyBuXDvW";India;;;"672724487373119488";https://twitter.com/news7tamil/status/672724487373119488
news7tamil;2015-12-04 02:02;17;8;"# சென்னை மியாட் மருத்துவமனையில் மின்சார இல்லாததால் நோயாளிகள் உயிரிழப்பு..http://goo.gl/4AnjPV pic.twitter.com/HR31ieTQqq";India;;;"672717562396868608";https://twitter.com/news7tamil/status/672717562396868608
news7tamil;2015-12-04 00:01;40;9;"# கடலூர் மாவட்டத்தில் ஐந்தாவது நாளாக கனமழை: இயல்பு வாழ்க்கை முடங்கியது..http://goo.gl/MPRSCo pic.twitter.com/aJWNPMdaRv";India;;;"672687058310193152";https://twitter.com/news7tamil/status/672687058310193152
news7tamil;2015-12-03 23:26;52;11;"# BREAKING | # News7_FloodReliefUpdatespic.twitter.com/XjJoONFI6H";India;;;"672678234509565952";https://twitter.com/news7tamil/status/672678234509565952
news7tamil;2015-12-03 23:00;53;23;"# News7_RainUpdates ● அடுத்த 24 மணி நேரத்திற்கு சென்னைக்கு மழை ஆபத்து இல்லை: வானிலை ஆய்வு மைய இயக்குநர் ரமணன் தகவல்.pic.twitter.com/iAZRRCDwqQ";India;;;"672671865760952320";https://twitter.com/news7tamil/status/672671865760952320
news7tamil;2015-12-03 22:17;9;8;"சென்னையில் மழை நின்றுள்ள நிலையில் வெள்ளநீர் வடியத் தொடங்கியது..http://goo.gl/Id1kSh pic.twitter.com/A20s3YbqOR";India;;;"672660971622498304";https://twitter.com/news7tamil/status/672660971622498304
news7tamil;2015-12-03 22:00;25;17;"காஞ்சிபுரத்தில் வெள்ளத்துடன் செல்பி: அடித்து செல்லப்பட்ட மூவர் மீட்பு..http://goo.gl/a3DTfX pic.twitter.com/aItffI64Le";India;;;"672656678538448896";https://twitter.com/news7tamil/status/672656678538448896
news7tamil;2015-12-03 21:17;11;5;"சென்னைக்கு கூடுதல் மீட்பு வீரர்களை களத்தில் இறக்கத் தயார்: ஓ.பி.சிங்..http://goo.gl/cqnYkW pic.twitter.com/3SEgK7yydK";India;;;"672645905841971200";https://twitter.com/news7tamil/status/672645905841971200
news7tamil;2015-12-03 20:48;16;7;"# தற்போது | பெட்ரோல், டீசல் தட்டுபாடு: சென்னை கோடம்பாக்கம் பெட்ரோல் நிலையத்தில் மக்கள் கூட்டம் அலை மோதுவதால் போக்குவரத்து பாதிப்பு.";India;;;"672638675113500672";https://twitter.com/news7tamil/status/672638675113500672
news7tamil;2015-12-03 20:40;10;8;"குறைந்த கட்டணத்தில் # ராஜாளி விமானத் தளத்திலிருந்து விமான சேவை..http://goo.gl/lZNjCT pic.twitter.com/9VFuBxbK7k";India;;;"672636467403841540";https://twitter.com/news7tamil/status/672636467403841540
news7tamil;2015-12-03 20:26;7;9;"ஒகேனக்கல்லிருந்து கொண்டு வரப்பட்ட பரிசல்கள் மூலம் தாம்பரத்தில் மீட்பு பணி..http://goo.gl/nAVjlW pic.twitter.com/C8reFd8Vtb";India;;;"672632929638416384";https://twitter.com/news7tamil/status/672632929638416384
